Poz,Tytuł,Rok
52,THE SOUND OF MUSIC,1965
3,1,1967
21,BRIDGE OVER TROUBLED WATER,1970
7,THE DARK SIDE OF THE MOON,1973
42,TUBULAR BELLS,1973
2,GOLD - GREATEST HITS,1975
19,BAT OUT OF HELL,1977
22,DIRTY DANCING,1977
11,RUMOURS,1977
37,THE WAR OF THE WORLDS,1978
1,GREATEST HITS,1981
6,BAD,1982
16,LEGEND,1984
8,BROTHERS IN ARMS,1985
51,GRACELAND,1986
36,THE JOSHUA TREE,1987
44,TRACY CHAPMAN,1988
39,BUT SERIOUSLY,1989
12,THE IMMACULATE COLLECTION,1990
14,STARS,1991
60,AUTOMATIC FOR THE PEOPLE,1992
41,JAGGED LITTLE PILL,1995
5,WHAT'S THE STORY MORNING GLORY,1995
29,SPICE,1996
15,COME ON OVER,1997
18,URBAN HYMNS,1997
28,TALK ON CORNERS,1997
26,WHITE LADDER,1998
53,LADIES & GENTLEMEN - THE BEST OF,1998
48,I'VE BEEN EXPECTING YOU,1998
43,THE MAN WHO,1999
31,A RUSH OF BLOOD TO THE HEAD,2000
55,THE MARSHALL MATHERS LP,2000
25,LIFE FOR RENT,2000
50,COME AWAY WITH ME,2002
38,SCISSOR SISTERS,2004
17,BACK TO BEDLAM,2004
35,HOPES AND FEARS,2004
34,BEAUTIFUL WORLD,2005
58,EYES OPEN,2006
13,BACK TO BLACK,2006
23,SPIRIT,2007
33,ONLY BY THE NIGHT,2008
30,THE FAME,2008
24,CRAZY LOVE,2009
4,21,2011
49,X,2014
